epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7185.87,0.3704,0.3175,0.00449,0.93034,0.95233,0.95865,0.76288,0.39884,0.39832,0.00568,6.74906e-05,6.74906e-05,6.74906e-05
67,7294.74,0.36781,0.31546,0.00449,0.95253,0.9345,0.96273,0.77166,0.39743,0.39559,0.00568,6.32213e-05,6.32213e-05,6.32213e-05
68,7403.44,0.37193,0.31541,0.00452,0.95214,0.93807,0.96187,0.76856,0.40057,0.39312,0.00571,5.89519e-05,5.89519e-05,5.89519e-05
69,7511.86,0.36594,0.31017,0.00446,0.96005,0.92585,0.9622,0.77142,0.3962,0.39359,0.00563,5.46825e-05,5.46825e-05,5.46825e-05
70,7620.75,0.3651,0.31525,0.00441,0.95274,0.93522,0.96156,0.77224,0.39853,0.39161,0.00567,5.04131e-05,5.04131e-05,5.04131e-05
71,7728.74,0.3219,0.2241,0.00482,0.95076,0.94028,0.96274,0.7719,0.40081,0.40641,0.0057,4.61438e-05,4.61438e-05,4.61438e-05
72,7836.2,0.31545,0.22362,0.00467,0.949,0.93434,0.96394,0.7708,0.39927,0.40016,0.00568,4.18744e-05,4.18744e-05,4.18744e-05
73,7943.61,0.3178,0.22054,0.00472,0.9475,0.94113,0.96279,0.77126,0.39915,0.39941,0.00568,3.7605e-05,3.7605e-05,3.7605e-05
74,8050.64,0.31694,0.22255,0.00475,0.95618,0.93504,0.96158,0.76791,0.3982,0.39983,0.00567,3.33356e-05,3.33356e-05,3.33356e-05
75,8157.96,0.31382,0.22274,0.00468,0.94848,0.94152,0.95925,0.7689,0.3986,0.40264,0.00568,2.90662e-05,2.90662e-05,2.90662e-05
76,8265.36,0.31342,0.21513,0.00463,0.95326,0.93856,0.95997,0.76671,0.39913,0.40365,0.00568,2.47969e-05,2.47969e-05,2.47969e-05
77,8372.73,0.30962,0.21394,0.0046,0.94769,0.94384,0.96019,0.76687,0.39727,0.40282,0.00564,2.05275e-05,2.05275e-05,2.05275e-05
78,8480.39,0.31047,0.2105,0.0046,0.94902,0.94546,0.96041,0.7695,0.39802,0.40272,0.00566,1.62581e-05,1.62581e-05,1.62581e-05
79,8587.65,0.30904,0.21113,0.00457,0.94557,0.94455,0.96092,0.76961,0.39752,0.40719,0.00566,1.19888e-05,1.19888e-05,1.19888e-05
80,8695.12,0.31254,0.21533,0.00461,0.9442,0.94737,0.96034,0.76798,0.39729,0.40362,0.00566,7.71937e-06,7.71937e-06,7.71937e-06
