epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6154.29,0.8043,0.28401,0.0046,0.9297,0.94417,0.95585,0.76032,0.90256,0.35267,0.00595,0.000101646,0.000101646,0.000101646
59,6260.03,0.80307,0.28031,0.00464,0.9533,0.92696,0.95386,0.7568,0.89909,0.35506,0.0059,9.73763e-05,9.73763e-05,9.73763e-05
60,6365.87,0.7932,0.27514,0.00453,0.94203,0.92112,0.95466,0.75836,0.89974,0.37616,0.00593,9.31069e-05,9.31069e-05,9.31069e-05
61,6471.58,0.78916,0.26835,0.00451,0.91195,0.93353,0.9483,0.76057,0.90729,0.3563,0.00595,8.88375e-05,8.88375e-05,8.88375e-05
62,6577.49,0.79751,0.26973,0.00459,0.9263,0.93037,0.95283,0.75715,0.89738,0.35908,0.00586,8.45681e-05,8.45681e-05,8.45681e-05
63,6683.35,0.79371,0.26871,0.00455,0.92861,0.94014,0.95542,0.7583,0.90352,0.36894,0.00596,8.02987e-05,8.02987e-05,8.02987e-05
64,6789.14,0.77496,0.26087,0.00445,0.93876,0.93517,0.95669,0.75939,0.89617,0.35166,0.00586,7.60294e-05,7.60294e-05,7.60294e-05
65,6894.91,0.78194,0.27014,0.00448,0.92561,0.93196,0.94811,0.75522,0.89518,0.36533,0.00587,7.176e-05,7.176e-05,7.176e-05
66,7000.75,0.77586,0.25767,0.00442,0.9406,0.91819,0.9484,0.75366,0.90248,0.36159,0.00588,6.74906e-05,6.74906e-05,6.74906e-05
67,7106.56,0.76822,0.25781,0.00441,0.94063,0.92057,0.95335,0.75605,0.89716,0.35341,0.00585,6.32213e-05,6.32213e-05,6.32213e-05
68,7212.32,0.77193,0.25834,0.00441,0.94383,0.92472,0.94957,0.76055,0.89989,0.35554,0.00587,5.89519e-05,5.89519e-05,5.89519e-05
69,7318.15,0.76328,0.25484,0.0044,0.95046,0.92984,0.95822,0.76316,0.89681,0.36325,0.00587,5.46825e-05,5.46825e-05,5.46825e-05
70,7424.32,0.77107,0.25568,0.00438,0.94943,0.92578,0.95774,0.76549,0.89512,0.35998,0.00587,5.04131e-05,5.04131e-05,5.04131e-05
71,7530.27,0.68245,0.16984,0.00466,0.94177,0.92988,0.95716,0.75947,0.90634,0.36146,0.00591,4.61438e-05,4.61438e-05,4.61438e-05
72,7635.41,0.67078,0.16517,0.00452,0.93886,0.93282,0.95653,0.76116,0.90404,0.35957,0.00592,4.18744e-05,4.18744e-05,4.18744e-05
73,7740.54,0.6691,0.16444,0.00452,0.94507,0.93607,0.95774,0.75973,0.90794,0.36624,0.00595,3.7605e-05,3.7605e-05,3.7605e-05
74,7845.85,0.66953,0.16684,0.0046,0.94396,0.93545,0.95734,0.75989,0.9029,0.35933,0.0059,3.33356e-05,3.33356e-05,3.33356e-05
75,7951.79,0.66293,0.16626,0.00451,0.94851,0.93029,0.9555,0.75867,0.90437,0.36104,0.00592,2.90662e-05,2.90662e-05,2.90662e-05
76,8057.33,0.65685,0.15694,0.00443,0.95077,0.92881,0.9556,0.7583,0.90365,0.36251,0.00591,2.47969e-05,2.47969e-05,2.47969e-05
77,8162.53,0.65285,0.15773,0.00439,0.94244,0.93423,0.95576,0.75856,0.90214,0.36201,0.00591,2.05275e-05,2.05275e-05,2.05275e-05
78,8267.97,0.651,0.15782,0.00436,0.93957,0.93318,0.95522,0.75625,0.90424,0.36736,0.00591,1.62581e-05,1.62581e-05,1.62581e-05
79,8373.65,0.65143,0.15771,0.00439,0.94143,0.93309,0.95428,0.75558,0.90502,0.36598,0.00592,1.19888e-05,1.19888e-05,1.19888e-05
80,8478.88,0.65644,0.15947,0.00443,0.94066,0.9334,0.95555,0.75658,0.90422,0.36616,0.00591,7.71937e-06,7.71937e-06,7.71937e-06
