variant,class_id,class_name,instances,precision,recall,f1,map50,map75,map50_95
baseline,18,A15_F-22,73,0.763618512134819,1.0,0.8659679027869543,0.9604000763363062,0.901995050088334,0.7440283962410109
baseline,19,A16_FA-18,316,0.976072177715048,0.9841772151898734,0.9801079405150004,0.9944671353774533,0.9887388246456348,0.7956159258951235
baseline,20,A17_TU-95,165,0.988400172086146,1.0,0.9941662507996647,0.995,0.9684602545012386,0.8601434044670828
baseline,21,A18_KC-10,38,0.9443156198515207,0.8926010659594227,0.9177303852618516,0.9861019948519949,0.9861019948519949,0.8281669687203961
baseline,22,A19_SU-34,153,0.9865629105839034,0.9597558960661404,0.9729747943018494,0.9923134245682632,0.9065511249041895,0.7552572971275542
baseline,23,A20_SU-24,134,0.9342801038172942,0.8955223880597015,0.9144907752627242,0.9658987425978639,0.940963336198538,0.8231203618582574
baseline,24,FSC,77,0.7836128730851809,0.6883116883116883,0.7328770968318742,0.7609502037747784,0.24763880972322588,0.3250108470119252
gcd-loss,0,HM,2,1.0,0.6547658818470918,0.791369811318838,0.995,0.637857142857143,0.6629047619047619
gcd-loss,1,LQS,5,0.8734773671962971,1.0,0.9324664204547893,0.995,0.995,0.8723863636363637
gcd-loss,2,QHS,97,0.6466752330446255,0.8247422680412371,0.7249341509037789,0.7336122131452707,0.6385791735764283,0.5249469582246165
gcd-loss,3,MS,298,0.8150741610852201,0.8430612303545606,0.8288315038955283,0.860846356079853,0.6864024240677389,0.587044444683287
gcd-loss,4,A1_SU-35,209,0.9765831600685014,0.9952153110047847,0.9858112049763182,0.9931249999999998,0.9897392575517928,0.8341604390670426
gcd-loss,5,A2_C-130,192,0.9544226930058918,0.9816039139975772,0.9678224954901281,0.9897877027163767,0.9897877027163767,0.8114976770614323
gcd-loss,6,A3_C-17,153,0.9831805081905578,1.0,0.9915189304554086,0.995,0.995,0.8233112248652841
gcd-loss,7,A4_C-5,76,0.8419883093051894,0.9868421052631579,0.9086785840203963,0.9857338415903715,0.9857338415903715,0.8621860510313015
gcd-loss,8,A5_F-16,164,0.9950857175928344,0.8841463414634146,0.936341408622028,0.9901205606202831,0.892415375733971,0.7017633840393006
gcd-loss,9,A6_TU-160,50,0.9809088799412476,1.0,0.9903624441022655,0.995,0.995,0.8476204589371982
gcd-loss,10,A7_E-3,83,0.9637136675246335,0.959980807922311,0.9618436159839007,0.9882097985955122,0.9821068574190416,0.8506655005975929
